Donor Potential,Donor Name,Demographic,Region,State or Province,City,Postal Code,Donation Date,Donation Amount
Hi,Kyle Fink,Middle Class,South,Virginia,Petersburg,23805,3/4/2013,20.45
Med,Danielle Baird,Middle Class,South,Florida,Fort Lauderdale,33311,3/5/2013,44.47
Hi,Alison Starr,Middle Class,South,North Carolina,Cornelius,28031,3/6/2013,33.53
Lo,Lester Sawyer,Middle Class,South,Virginia,Fairfax,20151,3/6/2013,344.16
Hi,Sean Sparks,Upper Class,South,North Carolina,Durham,27707,3/8/2013,274.93
Med,Kathy Shah,Middle Class,South,North Carolina,Garner,27529,3/8/2013,52.27
Lo,Danielle Baird,Middle Class,South,Florida,Fort Lauderdale,33311,3/9/2013,1902.78
Hi,Florence Walters,Middle Class,South,Florida,Bradenton,34210,3/10/2013,19.38
Hi,Jacob Archer,Upper Class,South,Virginia,Rose Hill,24281,3/10/2013,166.35
Med,Lisa Kim,Upper Class,South,Florida,Palm Beach Gardens,33403,3/10/2013,99.69
Hi,Tracy Buckley,Middle Class,South,Arkansas,North Little Rock,72113,3/13/2013,210.33
Hi,Jacob Archer,Upper Class,South,Virginia,Rose Hill,24281,3/14/2013,3127.18
Med,Earl Roy,Middle Class,South,Florida,Casselberry,32707,3/14/2013,26.37
Hi,Bradley Schroeder,Upper-Middle Class,South,Alabama,Auburn,36830,3/16/2013,1348.83
Hi,Michele Bradshaw,Middle Class,South,Florida,Dunedin,34698,3/16/2013,40.22
Hi,Julian Keith Mayer,Upper Class,South,Florida,Sanford,32771,3/17/2013,318.83
Lo,Marshall Sutherland,Middle Class,South,Alabama,Phenix City,36869,3/20/2013,725.39
Hi,Bonnie G Keith,Middle Class,South,Arkansas,Fort Smith,72903,3/22/2013,65.87
Hi,Natalie Aldridge,Middle Class,South,Florida,Merritt Island,32953,3/22/2013,62.64
Med,Jimmy Boswell,Middle Class,South,Alabama,Florence,35630,3/22/2013,74.31
Hi,James Craft,Upper-Middle Class,South,Georgia,Smyrna,30080,3/23/2013,81.45
Med,Ralph Fowler,Upper-Middle Class,South,Louisiana,Slidell,70458,3/23/2013,765.16
Med,Faye Woods,Middle Class,South,Arkansas,Searcy,72143,3/24/2013,36.42
Med,James Nicholson,Middle Class,South,Virginia,Annandale,22003,3/24/2013,924.26
Hi,Janice Cole,Upper Class,South,Louisiana,Baton Rouge,70802,3/26/2013,85.1
Med,Edna Michael,Upper-Middle Class,South,Florida,Port Charlotte,33952,3/26/2013,491.36
Med,Colleen Andrews,Upper-Middle Class,South,North Carolina,Mint Hill,28227,3/29/2013,52.73
Hi,Lester Erickson Frederick,Upper Class,South,Virginia,Winchester,22601,3/30/2013,47.48
Lo,Benjamin Harvey,Middle Class,South,Georgia,East Point,30344,3/30/2013,436.51
Lo,Douglas English,Middle Class,South,Florida,Palm Bay,32905,3/30/2013,45.85
Hi,Jacob Archer,Upper Class,South,Virginia,Rose Hill,24281,3/31/2013,487.43
Med,Joann Moser,Upper-Middle Class,South,Tennessee,Spring Hill,37174,3/31/2013,27.99
Med,Rick Ellis,Upper-Middle Class,South,Virginia,Springfield,22153,3/31/2013,769.92
Lo,Katharine Hudson,Middle Class,South,Tennessee,Clarksville,37042,4/1/2013,223.01
Not Specified,Josephine Dalton,Middle Class,South,Virginia,Richmond,23223,4/4/2013,371.57
Hi,Robyn Crawford,Upper-Middle Class,South,Tennessee,Germantown,38138,4/8/2013,38.81
Med,George Yates,Middle Class,South,Alabama,Homewood,35209,4/9/2013,51.81
Lo,Glenn Jain,Upper Class,South,Florida,Titusville,32780,4/10/2013,1315.25
Med,Michael Shaffer,Middle Class,South,Florida,Kissimmee,34741,4/11/2013,166.16
Hi,Christine Wilkerson,Upper Class,South,North Carolina,Chapel Hill,27514,4/12/2013,73.36
Hi,Yvonne Kenney,Upper-Middle Class,South,Tennessee,Kingsport,37664,4/12/2013,387.11
Lo,Marshall Sutherland,Middle Class,South,Alabama,Phenix City,36869,4/12/2013,507.37
Med,Nicholas Donnelly,Upper-Middle Class,South,Florida,Port Charlotte,33952,4/13/2013,174.44
Hi,William Woodard,Upper Class,South,Florida,Kendall,33156,4/14/2013,537.8
Med,Paige Powers,Middle Class,South,Arkansas,West Memphis,72301,4/15/2013,464.83
Hi,Faye Manning,Upper Class,South,Florida,Saint Petersburg,33710,4/17/2013,56.03
Med,Meredith Humphrey,Middle Class,South,North Carolina,Cary,27511,4/19/2013,355.17
Not Specified,Ricky Garner,Middle Class,South,Virginia,Herndon,20170,4/19/2013,288.42
Not Specified,Jesse Fisher,Upper-Middle Class,South,Virginia,Suffolk,23434,4/20/2013,36.41
Hi,Paige Mason,Upper Class,South,Virginia,Norfolk,23518,4/21/2013,3.07
Lo,Melanie Barker Hirsch,Upper Class,South,Georgia,Douglasville,30135,4/21/2013,86.97
Med,Carolyn Bowling,Upper-Middle Class,South,Virginia,Blacksburg,24060,4/21/2013,156.48
Hi,Lisa Roberson,Middle Class,South,Florida,Poinciana,34759,4/22/2013,72.77
Hi,Victoria Baker Hoover,Middle Class,South,Louisiana,Terrytown,70056,4/22/2013,132.08
Hi,Marjorie Maxwell,Middle Class,South,North Carolina,Wake Forest,27587,4/23/2013,289.99
Med,Allan Shields,Upper Class,South,Florida,Seminole,33772,4/23/2013,45.81
Med,Marsha Roy,Upper Class,South,Mississippi,Tupelo,38801,4/23/2013,46.45
Not Specified,Lori Crowell,Middle Class,South,North Carolina,Monroe,28110,4/23/2013,90.14
Not Specified,Arthur Gold,Upper-Middle Class,South,Tennessee,Hendersonville,37075,4/25/2013,183.39
Hi,Pauline Erickson Kirkland,Upper Class,South,Arkansas,Springdale,72762,4/26/2013,13.5
Hi,Phyllis Little,Upper Class,South,Tennessee,Bartlett,38134,4/27/2013,257.92
Not Specified,Nathan Fox,Middle Class,South,South Carolina,Myrtle Beach,29577,4/28/2013,21.77
Hi,Jack Horn,Upper-Middle Class,South,Georgia,Statesboro,30458,4/29/2013,176.42
Lo,Carole Creech,Middle Class,South,Florida,Lake Worth,33461,4/29/2013,461.46
Hi,Ruby Tate,Middle Class,South,Florida,Palm Beach Gardens,33403,5/1/2013,929.41
Med,James Nicholson,Middle Class,South,Virginia,Annandale,22003,5/1/2013,131.79
Not Specified,Dana Jain,Upper-Middle Class,South,Florida,Apopka,32712,5/4/2013,250.22
Hi,Sidney Scarborough,Upper-Middle Class,South,Virginia,Charlottesville,22901,5/5/2013,7.72
Hi,Bernard Thompson,Upper Class,South,North Carolina,Raleigh,27604,5/8/2013,7
Hi,Herbert Holden,Middle Class,South,Georgia,Atlanta,30305,5/8/2013,292.2
Hi,Jean Frazier,Middle Class,South,Alabama,Tuscaloosa,35401,5/10/2013,211.52
Hi,Jon Ayers,Middle Class,South,Florida,Palm Coast,32137,5/10/2013,4076.24
Hi,Leslie Woodard,Middle Class,South,South Carolina,Charleston,29418,5/10/2013,1944.87
Hi,Regina Langley,Upper Class,South,Georgia,Martinez,30907,5/10/2013,84.52
Hi,Daniel Christian,Middle Class,South,Louisiana,New Orleans,70117,5/11/2013,333.3
Not Specified,Danielle Myers,Upper Class,South,North Carolina,Garner,27529,5/12/2013,451.83
Hi,Anthony Greer,Middle Class,South,Georgia,Columbus,31907,5/15/2013,327.24
Hi,Evan Gill Roy,Upper Class,South,North Carolina,Indian Trail,28079,5/15/2013,189.77
Lo,Anthony Greer,Upper Class,South,Georgia,Columbus,31907,5/15/2013,36.86
Med,Vanessa Casey Jones,Upper-Middle Class,South,Florida,Deland,32720,5/16/2013,293.1
Not Specified,Jordan Wilkinson,Upper Class,South,Kentucky,Florence,41042,5/16/2013,7.64
Not Specified,Sean Pugh,Upper Class,South,Florida,Sunrise,33322,5/19/2013,28.76
Hi,Kathy Norman,Middle Class,South,Virginia,Arlington,22204,5/20/2013,147.17
Not Specified,Tracy Buckley,Middle Class,South,Arkansas,North Little Rock,72113,5/20/2013,164.27
Hi,Rodney Kearney,Middle Class,South,Louisiana,Metairie,70003,5/21/2013,218.31
Not Specified,Sandra Faulkner,Middle Class,South,Virginia,Portsmouth,23701,5/21/2013,69.08
Hi,Earl Roy,Middle Class,South,Florida,Casselberry,32707,5/22/2013,71.45
Hi,Elisabeth Shaw,Upper Class,South,Florida,Ormond Beach,32174,5/22/2013,936.28
Hi,Norman Ward,Middle Class,South,Florida,Sarasota,34239,5/23/2013,21.86
Not Specified,Constance Ivey,Middle Class,South,Florida,Sarasota,34239,5/23/2013,129.38
Not Specified,Herman Leach,Middle Class,South,Virginia,Hampton,23666,5/23/2013,2052.43
Not Specified,Brad Stark,Middle Class,South,North Carolina,Eden,27288,5/24/2013,222.82
Hi,Dan McGee,Middle Class,South,Virginia,Reston,20190,5/26/2013,804.18
Not Specified,Tommy Feldman,Middle Class,South,North Carolina,Sanford,27237,5/26/2013,72.97
Hi,Jill Young,Upper Class,South,Louisiana,Monroe,71203,5/27/2013,371.68
Not Specified,James Fox,Middle Class,South,Tennessee,Franklin,37064,5/29/2013,78.75
Not Specified,Carlos Adkins,Upper-Middle Class,South,Florida,Land O Lakes,34639,5/31/2013,138.49
Hi,Miriam Mueller,Upper Class,South,Tennessee,Murfreesboro,37130,6/1/2013,793.39
Hi,Sam Rouse,Middle Class,South,Georgia,Forest Park,30297,6/1/2013,100.12
Lo,Sandra Faulkner,Middle Class,South,Virginia,Portsmouth,23701,6/1/2013,12.99
Hi,Claudia Webb,Upper Class,South,North Carolina,Indian Trail,28079,6/2/2013,893.04
Not Specified,Earl Roy,Middle Class,South,Florida,Casselberry,32707,6/3/2013,166.62
Hi,Gene Caldwell,Upper Class,South,North Carolina,Wake Forest,27587,6/5/2013,91.13
Not Specified,Marianne Goldstein,Upper-Middle Class,South,Florida,New Smyrna Beach,32168,6/5/2013,21.58
Med,Steve Raynor,Upper Class,South,South Carolina,Taylors,29687,6/6/2013,4542.65
Hi,Anthony Han,Upper Class,South,Tennessee,Memphis,38109,6/9/2013,47.55
Lo,Eleanor Swain,Upper-Middle Class,South,North Carolina,Charlotte,28204,6/9/2013,78.17
Lo,Rodney Kearney,Middle Class,South,Louisiana,Metairie,70003,6/9/2013,54.9
Hi,Jesse Farrell,Middle Class,South,Kentucky,Louisville,40214,6/11/2013,95.42
Hi,Sidney Gilliam,Upper-Middle Class,South,Florida,Riverview,33569,6/11/2013,199.48
Lo,Mitchell Ross,Upper-Middle Class,South,Virginia,Burke,22015,6/11/2013,52.16
Not Specified,Sean Sparks,Upper Class,South,North Carolina,Durham,27707,6/11/2013,804.85
Med,Sandra Sharma,Upper-Middle Class,South,Tennessee,Morristown,37814,6/12/2013,257.41
Hi,Andrew Gonzalez,Middle Class,South,North Carolina,Charlotte,28206,6/13/2013,7497.05
Hi,Judy Singer,Upper-Middle Class,South,Florida,Miami,33132,6/14/2013,8332.91
Hi,Donna Block,Upper Class,South,Georgia,Dalton,30721,6/17/2013,4301.39
Hi,Allan Shields,Middle Class,South,Florida,Seminole,33772,6/19/2013,83.49
Lo,Andrew Gonzalez,Middle Class,South,North Carolina,Charlotte,28206,6/20/2013,1274.95
Not Specified,Tara Powers Underwood,Upper-Middle Class,South,Mississippi,Greenville,38701,6/21/2013,87.53
Med,Robin Tyler,Upper Class,South,Kentucky,Murray,42071,6/22/2013,13.95
Hi,Eva Decker,Middle Class,South,Georgia,La Grange,30240,6/23/2013,5572.18
Med,Glenda Rosen,Middle Class,South,Tennessee,La Vergne,37086,6/27/2013,94.12
Med,Lloyd Fuller,Middle Class,South,Tennessee,Brentwood,37027,6/28/2013,191.83
Hi,Bonnie Matthews Rowland,Middle Class,South,Florida,Miami,33916,6/30/2013,397.44
Lo,Lucy Levine,Middle Class,South,Florida,Deltona,32725,6/30/2013,33.53
Lo,Martin Heath,Upper Class,South,South Carolina,Charleston,29418,6/30/2013,6.82
Hi,Herbert Currie,Middle Class,South,Florida,Pine Hills,32808,7/2/2013,21.57
Not Specified,Annette McIntyre,Upper Class,South,Georgia,Kennesaw,30144,7/4/2013,834.22
Not Specified,Elisabeth Shaw,Upper Class,South,Florida,Ormond Beach,32174,7/4/2013,9.64
Lo,Roger Hopkins,Upper Class,South,Arkansas,Conway,72032,7/5/2013,1288.71
Hi,Theresa Winters,Middle Class,South,Arkansas,Bryant,72022,7/6/2013,38.48
Med,Sue Drake,Upper-Middle Class,South,Arkansas,Searcy,72143,7/6/2013,161.63
Hi,"Daniel, Vincent",Upper Class,South,Florida,Fruit Cove,32259,7/7/2013,78.91
Not Specified,Wesley Cho,Middle Class,South,Virginia,Richmond,23223,7/9/2013,4631.59
Hi,Jordan Wilkinson,Upper Class,South,Kentucky,Florence,41042,7/10/2013,39.18
Med,Larry Langston,Upper Class,South,South Carolina,Spartanburg,29301,7/10/2013,48.88
Med,Phyllis Little,Upper Class,South,Tennessee,Bartlett,38134,7/12/2013,112.45
Lo,Dwight Hendricks,Middle Class,South,Florida,Plantation,33317,7/13/2013,72.88
Hi,Benjamin Lam,Upper Class,South,Georgia,Atlanta,30318,7/14/2013,2149.08
Hi,Kathy Cooke,Upper-Middle Class,South,Tennessee,Memphis,38109,7/14/2013,85.75
Not Specified,Ian Chu,Upper Class,South,Georgia,Hinesville,31313,7/14/2013,592.06
Not Specified,Sean Stephenson,Middle Class,South,Georgia,Peachtree City,30269,7/14/2013,2440.91
Hi,Aaron Day,Upper Class,South,Tennessee,Greeneville,37743,7/17/2013,1122.85
Not Specified,Lisa Kim,Upper Class,South,Florida,Palm Beach Gardens,33403,7/17/2013,45.46
Hi,Nathan Newton,Upper Class,South,North Carolina,High Point,27260,7/18/2013,934.52
Not Specified,Jeanne Chandler,Middle Class,South,Tennessee,Columbia,38401,7/18/2013,43.77
Hi,Derek Sweeney,Upper Class,South,Louisiana,Lafayette,70506,7/19/2013,58.05
Hi,Larry Hall,Middle Class,South,Alabama,Birmingham,35211,7/19/2013,115.53
Hi,Roger Hopkins,Upper Class,South,Arkansas,Conway,72032,7/19/2013,207.91
Hi,Wayne English,Upper Class,South,Louisiana,New Iberia,70560,7/21/2013,136.41
Lo,Mike G Hartman,Middle Class,South,Florida,Pembroke Pines,33024,7/21/2013,77.42
Lo,Rhonda Tuttle,Upper Class,South,Louisiana,Kenner,70065,7/21/2013,1201.57
Hi,Tina Monroe,Upper Class,South,Georgia,Sandy Springs,30328,7/25/2013,196.69
Hi,Marc S Liu,Middle Class,South,Louisiana,Marrero,70072,7/26/2013,1253.74
Med,Douglas English,Middle Class,South,Florida,Palm Bay,32905,7/26/2013,472.62
Not Specified,Cameron Clapp,Upper-Middle Class,South,Florida,Homestead,33030,7/27/2013,2776.98
Not Specified,Joe George,Middle Class,South,Louisiana,Bossier City,71111,7/27/2013,42.53
Lo,Lynne Wilcox,Middle Class,South,South Carolina,Hilton Head Island,29915,7/28/2013,1343.22
Lo,Herbert Holden,Middle Class,South,Georgia,Atlanta,30305,7/29/2013,452.46
Med,Nicholas Donnelly,Upper-Middle Class,South,Florida,Port Charlotte,33952,7/29/2013,65.52
Med,Bryan Weinstein,Upper Class,South,Florida,Winter Garden,34787,7/30/2013,105.24
Med,James Craft,Upper-Middle Class,South,Georgia,Smyrna,30080,8/1/2013,1888.14
Hi,Arnold Floyd Blair,Upper Class,South,South Carolina,Rock Hill,29730,8/3/2013,1161.65
Hi,Kevin Wolfe,Middle Class,South,Georgia,East Point,30344,8/5/2013,35.53
Not Specified,Cameron Owens,Upper Class,South,Kentucky,Covington,41011,8/5/2013,280.21
Med,Sean Sparks,Upper Class,South,North Carolina,Durham,27707,8/6/2013,81.78
Med,Alfred Singh,Upper Class,South,Virginia,Mechanicsville,23111,8/8/2013,4249.37
Med,Ricky Allred,Middle Class,South,South Carolina,Columbia,29203,8/8/2013,125.19
Hi,Sheryl Allred,Upper Class,South,Florida,Palm Coast,32137,8/9/2013,1900.97
Lo,Vivian Mayer,Upper Class,South,Georgia,Roswell,30076,8/9/2013,80.78
Not Specified,Daniel Christian,Middle Class,South,Louisiana,New Orleans,70117,8/9/2013,165.14
Hi,Michelle Steele,Middle Class,South,Alabama,Enterprise,36330,8/10/2013,222.71
Not Specified,Vanessa Day,Upper Class,South,Tennessee,Collierville,38017,8/10/2013,87.68
Med,Carolyn Bowling,Upper-Middle Class,South,Virginia,Blacksburg,24060,8/11/2013,717.04
Med,Lloyd Fuller,Middle Class,South,Tennessee,Brentwood,37027,8/12/2013,26.88
Lo,Maxine Middleton,Upper Class,South,Mississippi,Pearl,39208,8/13/2013,144.6
Med,Eileen Dalton,Upper Class,South,Tennessee,Columbia,38401,8/13/2013,832.97
Hi,Cathy Burgess,Upper Class,South,Louisiana,Shreveport,71109,8/14/2013,113.92
Hi,Debra Cochran,Middle Class,South,Arkansas,Fayetteville,72701,8/14/2013,141.83
Med,Harvey Barefoot,Upper-Middle Class,South,Virginia,Roanoke,24017,8/14/2013,49.95
Hi,Jackie Burke,Middle Class,South,Florida,Carol City,33055,8/16/2013,56.24
Lo,Ricky Y Newman,Middle Class,South,Georgia,Hinesville,31313,8/17/2013,62.13
Lo,Courtney Weber,Middle Class,South,Virginia,Rose Hill,24281,8/18/2013,439.45
Lo,Sean Sparks,Upper-Middle Class,South,North Carolina,Durham,27707,8/18/2013,608.33
Lo,Sean Sparks,Upper-Middle Class,South,North Carolina,Durham,27707,8/20/2013,3.78
Med,Gary Koch,Middle Class,South,Mississippi,Clinton,39056,8/22/2013,84.95
Hi,Robert Rollins,Middle Class,South,Georgia,Newnan,30265,8/24/2013,156.41
Not Specified,Monica Law Thompson,Upper Class,South,Arkansas,Texarkana,71854,8/24/2013,2792.12
Hi,Kenneth Pollock,Upper Class,South,Virginia,Harrisonburg,22801,8/25/2013,183.44
Hi,Rita Vaughn,Middle Class,South,Arkansas,Benton,72015,8/25/2013,125.07
Hi,Phillip Cochran Ashley,Middle Class,South,Virginia,Danville,24541,8/26/2013,7.11
Not Specified,Marc S Liu,Middle Class,South,Louisiana,Marrero,70072,8/27/2013,1755.67
Not Specified,Ian Chu,Upper Class,South,Georgia,Hinesville,31313,8/28/2013,615.77
Hi,Geoffrey H Wong,Upper Class,South,Georgia,Rome,30161,8/29/2013,461.24
Med,Sheryl Alexander,Upper-Middle Class,South,Virginia,Colonial Heights,23834,8/30/2013,54.01
Lo,Vicki Hauser,Middle Class,South,Tennessee,Lebanon,37087,8/31/2013,1839.91
Med,Ray Silverman,Upper-Middle Class,South,Florida,Ponte Vedra Beach,32004,9/1/2013,83.98
Hi,Leslie Woodard,Middle Class,South,South Carolina,Charleston,29418,9/2/2013,112.49
Lo,Sidney Scarborough,Upper-Middle Class,South,Virginia,Charlottesville,22901,9/2/2013,942.53
Hi,Beverly Roberts,Upper Class,South,Georgia,Savannah,31401,9/3/2013,17.64
Lo,Annette McIntyre,Middle Class,South,Georgia,Kennesaw,30144,9/3/2013,106.99
Hi,Clyde Norman,Middle Class,South,North Carolina,Jacksonville,28540,9/5/2013,15.3
Hi,Stuart Bruce,Upper Class,South,Florida,Boynton Beach,33437,9/6/2013,69.03
Lo,Annie Horne,Middle Class,South,Florida,Fort Myers,33917,9/8/2013,1767.28
Not Specified,Rachel Casey,Middle Class,South,Kentucky,Henderson,42420,9/9/2013,16.71
Not Specified,Nathan Fox,Middle Class,South,South Carolina,Myrtle Beach,29577,9/12/2013,84.53
Lo,Mike G Hartman,Middle Class,South,Florida,Pembroke Pines,33024,9/13/2013,97.88
Hi,Eleanor Swain,Middle Class,South,North Carolina,Charlotte,28204,9/15/2013,250
Hi,Kyle Fink,Middle Class,South,Virginia,Petersburg,23805,9/16/2013,8.72
Med,Grace Everett,Upper Class,South,Alabama,Oxford,36203,9/16/2013,9.69
Hi,Alison Starr,Middle Class,South,North Carolina,Cornelius,28031,9/17/2013,37.02
Hi,Erika Clapp,Middle Class,South,Tennessee,Chattanooga,37421,9/18/2013,97.52
Lo,Cecil Berger,Middle Class,South,Arkansas,Bella Vista,72714,9/18/2013,25.05
Lo,Jon Ward,Middle Class,South,Florida,Palm Beach Gardens,33403,9/18/2013,30.86
Hi,Courtney Weber,Middle Class,South,Virginia,Rose Hill,24281,9/20/2013,821.92
Lo,Anne Schultz,Upper Class,South,Georgia,Athens,30605,9/21/2013,146.17
Lo,Elsie Boykin,Upper Class,South,Kentucky,Fort Thomas,41075,9/21/2013,82.93
Not Specified,Lee Xu,Middle Class,South,Alabama,Madison,35756,9/21/2013,57.87
Hi,Bonnie Matthews Rowland,Middle Class,South,Florida,Miami,33916,9/22/2013,16959.3
Hi,Herbert Holden,Middle Class,South,Georgia,Atlanta,30305,9/22/2013,605.82
Hi,Marshall Sutherland,Middle Class,South,Alabama,Phenix City,36869,9/22/2013,233.76
Not Specified,Miriam Bowman,Upper-Middle Class,South,Florida,Hollywood,33021,9/22/2013,94.34
Hi,Anne Schultz,Upper Class,South,Georgia,Athens,30605,9/23/2013,5.59
Lo,Daniel Christian,Middle Class,South,Louisiana,New Orleans,70117,9/24/2013,204.71
Lo,Herbert Holden,Middle Class,South,Georgia,Atlanta,30305,9/24/2013,5.7
Not Specified,Paige Mason,Upper Class,South,Virginia,Norfolk,23518,9/24/2013,33.14
Hi,Juan Gold,Middle Class,South,Florida,Pensacola,32503,9/25/2013,188.04
Not Specified,Jane Howell,Upper Class,South,Louisiana,Baton Rouge,70802,9/26/2013,41.51
Not Specified,Nathan Newton,Upper Class,South,North Carolina,High Point,27260,9/30/2013,24.03
Med,Evelyn Garcia,Upper Class,South,North Carolina,Laurinburg,28352,10/2/2013,88.34
Lo,Joann Moser,Middle Class,South,Tennessee,Spring Hill,37174,10/3/2013,121.62
Hi,Jill Young,Upper Class,South,Louisiana,Monroe,71203,10/4/2013,6.31
Not Specified,"Goldstein, Marianne",Upper-Middle Class,South,Florida,New Smyrna Beach,32168,10/5/2013,11.95
Not Specified,Jesse Farrell,Middle Class,South,Kentucky,Louisville,40214,10/5/2013,2786.27
